Standard,Grade,type,answer_text,questionattemptid,total_rubric_score,Audio Link,Transcription,whisper_words,whisper_segments,whisper_language,Audio Audible,Transcript Acceptable
wida,3,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/auto_audios/1737419244310_14499177_2.mp3,118335589,0,https://drive.google.com/file/d/1frSAwsmvz8l-aijorpP_6uYVnMVpTw9E/view?usp=sharing, A heart and a vegetable,"[{""word"": ""A"", ""start"": 0.56, ""end"": 0.74}, {""word"": ""heart"", ""start"": 0.74, ""end"": 1.02}, {""word"": ""and"", ""start"": 1.02, ""end"": 1.36}, {""word"": ""a"", ""start"": 1.36, ""end"": 1.46}, {""word"": ""vegetable"", ""start"": 1.46, ""end"": 1.92}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 2.72, ""text"": "" A heart and a vegetable"", ""tokens"": [50365, 316, 1917, 293, 257, 16356, 50501], ""temperature"": 0, ""avg_logprob"": -0.18161897, ""compression_ratio"": 0.7419355, ""no_speech_prob"": 2.4977573e-10}]",English,Yes,Yes
wida,4,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/auto_audios/1737993102927_15311022_3.mp3,126185823,0,https://drive.google.com/file/d/1A9KvW1jqcmKQOgBHa16hJYzXh2KwPRgj/view?usp=sharing, I see an egg and a burnt out match.,"[{""word"": ""I"", ""start"": 0.68, ""end"": 0.84}, {""word"": ""see"", ""start"": 0.84, ""end"": 1.24}, {""word"": ""an"", ""start"": 1.24, ""end"": 1.62}, {""word"": ""egg"", ""start"": 1.62, ""end"": 2.08}, {""word"": ""and"", ""start"": 2.08, ""end"": 2.44}, {""word"": ""a"", ""start"": 2.44, ""end"": 2.56}, {""word"": ""burnt"", ""start"": 2.56, ""end"": 2.96}, {""word"": ""out"", ""start"": 2.96, ""end"": 3.66}, {""word"": ""match."", ""start"": 3.66, ""end"": 5.12}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 5.12, ""text"": "" I see an egg and a burnt out match."", ""tokens"": [50365, 286, 536, 364, 3777, 293, 257, 18901, 484, 2995, 13, 50621], ""temperature"": 0, ""avg_logprob"": -0.08508064, ""compression_ratio"": 0.85365856, ""no_speech_prob"": 1.5830273e-10}]",Icelandic,Yes,Yes
wida,5,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/auto_audios/1747681003676_24421887_2.mp3,191769875,0,https://drive.google.com/file/d/1vuQnwH4kqAo24CPImU8NGll1MFev5R6i/view?usp=sharing," I see a little girl happy and I see people, I'm seeing the military people.","[{""word"": ""I"", ""start"": 0.4, ""end"": 0.5}, {""word"": ""see"", ""start"": 0.5, ""end"": 1.06}, {""word"": ""a"", ""start"": 1.06, ""end"": 1.42}, {""word"": ""little"", ""start"": 1.42, ""end"": 1.72}, {""word"": ""girl"", ""start"": 1.72, ""end"": 1.96}, {""word"": ""happy"", ""start"": 1.96, ""end"": 2.52}, {""word"": ""and"", ""start"": 2.52, ""end"": 3.46}, {""word"": ""I"", ""start"": 3.46, ""end"": 3.64}, {""word"": ""see"", ""start"": 3.64, ""end"": 3.9}, {""word"": ""people,"", ""start"": 3.9, ""end"": 4.78}, {""word"": ""I'm"", ""start"": 4.5, ""end"": 5.36}, {""word"": ""seeing"", ""start"": 5.36, ""end"": 5.64}, {""word"": ""the"", ""start"": 5.64, ""end"": 5.8}, {""word"": ""military"", ""start"": 5.8, ""end"": 6.28}, {""word"": ""people."", ""start"": 6.28, ""end"": 6.9}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 5, ""text"": "" I see a little girl happy and I see people,"", ""tokens"": [50365, 286, 536, 257, 707, 2013, 2055, 293, 286, 536, 561, 11, 50615], ""temperature"": 0, ""avg_logprob"": -0.52640885, ""compression_ratio"": 1.0563381, ""no_speech_prob"": 1.3035531e-11}, {""id"": 1, ""seek"": 0, ""start"": 5, ""end"": 7.76, ""text"": "" I'm seeing the military people."", ""tokens"": [50615, 286, 478, 2577, 264, 4632, 561, 13, 50753], ""temperature"": 0, ""avg_logprob"": -0.52640885, ""compression_ratio"": 1.0563381, ""no_speech_prob"": 1.3035531e-11}]",English,Yes,Yes
wida,6,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/auto_audios/1737126379884_14290702_3.mp3,116398916,0,https://drive.google.com/file/d/1B7DUZKcru1YtkwdF0S3vWgTG2MlYe88l/view?usp=sharing, .,"[{""word"": ""."", ""start"": 0, ""end"": 0.54}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 0.98, ""text"": "" ."", ""tokens"": [50365, 2411, 50414], ""temperature"": 0, ""avg_logprob"": -0.728789, ""compression_ratio"": 0.11111111, ""no_speech_prob"": 1.5591413e-10}]",English,No,Yes
wida,7,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/auto_audios/1734547798035_12441995_3.mp3,98293251,0,https://drive.google.com/file/d/16vJA0VtiU56pIxphpX9MYwpoWPh0zWpQ/view?usp=sharing," What I see in the picture, there's these two women. They're reading a book, the other girl showing the picture. They're laying down in a towel and they're wearing glasses.","[{""word"": ""What"", ""start"": 0.14, ""end"": 0.66}, {""word"": ""I"", ""start"": 0.66, ""end"": 0.9}, {""word"": ""see"", ""start"": 0.9, ""end"": 1.16}, {""word"": ""in"", ""start"": 1.16, ""end"": 1.68}, {""word"": ""the"", ""start"": 1.68, ""end"": 1.9}, {""word"": ""picture,"", ""start"": 1.9, ""end"": 4.48}, {""word"": ""there's"", ""start"": 4.48, ""end"": 5.68}, {""word"": ""these"", ""start"": 5.68, ""end"": 5.94}, {""word"": ""two"", ""start"": 5.94, ""end"": 6.24}, {""word"": ""women."", ""start"": 6.24, ""end"": 7.28}, {""word"": ""They're"", ""start"": 6.5, ""end"": 8.24}, {""word"": ""reading"", ""start"": 8.24, ""end"": 9.86}, {""word"": ""a"", ""start"": 9.86, ""end"": 10.22}, {""word"": ""book,"", ""start"": 10.22, ""end"": 11.1}, {""word"": ""the"", ""start"": 11.1, ""end"": 11.24}, {""word"": ""other"", ""start"": 11.24, ""end"": 11.5}, {""word"": ""girl"", ""start"": 11.5, ""end"": 11.62}, {""word"": ""showing"", ""start"": 11.62, ""end"": 11.88}, {""word"": ""the"", ""start"": 11.88, ""end"": 12.06}, {""word"": ""picture."", ""start"": 12.06, ""end"": 13.48}, {""word"": ""They're"", ""start"": 12.5, ""end"": 13.78}, {""word"": ""laying"", ""start"": 13.78, ""end"": 14.82}, {""word"": ""down"", ""start"": 14.82, ""end"": 15.22}, {""word"": ""in"", ""start"": 15.22, ""end"": 15.5}, {""word"": ""a"", ""start"": 15.5, ""end"": 15.76}, {""word"": ""towel"", ""start"": 15.76, ""end"": 16.3}, {""word"": ""and"", ""start"": 16.3, ""end"": 17.86}, {""word"": ""they're"", ""start"": 17.86, ""end"": 18.18}, {""word"": ""wearing"", ""start"": 18.18, ""end"": 18.36}, {""word"": ""glasses."", ""start"": 18.36, ""end"": 18.92}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 7, ""text"": "" What I see in the picture, there's these two women."", ""tokens"": [50365, 708, 286, 536, 294, 264, 3036, 11, 456, 311, 613, 732, 2266, 13, 50715], ""temperature"": 0, ""avg_logprob"": -0.3859202, ""compression_ratio"": 1.4369748, ""no_speech_prob"": 7.399945e-11}, {""id"": 1, ""seek"": 0, ""start"": 7, ""end"": 13, ""text"": "" They're reading a book, the other girl showing the picture."", ""tokens"": [50715, 814, 434, 3760, 257, 1446, 11, 264, 661, 2013, 4099, 264, 3036, 13, 51015], ""temperature"": 0, ""avg_logprob"": -0.3859202, ""compression_ratio"": 1.4369748, ""no_speech_prob"": 7.399945e-11}, {""id"": 2, ""seek"": 0, ""start"": 13, ""end"": 20.18, ""text"": "" They're laying down in a towel and they're wearing glasses."", ""tokens"": [51015, 814, 434, 14903, 760, 294, 257, 15755, 293, 436, 434, 4769, 10812, 13, 51374], ""temperature"": 0, ""avg_logprob"": -0.3859202, ""compression_ratio"": 1.4369748, ""no_speech_prob"": 7.399945e-11}]",English,,
wida,8,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/auto_audios/1744216461830_22692338_2.mp3,178596024,0,https://drive.google.com/file/d/1rC1ENNuju5_HKSLpLcjG5n-Ljw_xrQg2/view?usp=sharing, Thank you.,"[{""word"": ""Thank"", ""start"": 0.04, ""end"": 0.52}, {""word"": ""you."", ""start"": 0.52, ""end"": 0.54}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 0.56, ""text"": "" Thank you."", ""tokens"": [50365, 1044, 291, 13, 50393], ""temperature"": 0, ""avg_logprob"": -0.6696465, ""compression_ratio"": 0.5555556, ""no_speech_prob"": 1.06775096e-10}]",English,No,No
wida,9,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/auto_audios/1743430594538_21974695_2.mp3,173074848,0,https://drive.google.com/file/d/10VRqNSVXHTDy0GQ6BOiyRfI6TRS6Rwhm/view?usp=sharing, I see buildings and traffic lights.,"[{""word"": ""I"", ""start"": 0.82, ""end"": 1}, {""word"": ""see"", ""start"": 1, ""end"": 1.22}, {""word"": ""buildings"", ""start"": 1.22, ""end"": 1.8}, {""word"": ""and"", ""start"": 1.8, ""end"": 2.48}, {""word"": ""traffic"", ""start"": 2.48, ""end"": 3}, {""word"": ""lights."", ""start"": 3, ""end"": 3.72}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 4.04, ""text"": "" I see buildings and traffic lights."", ""tokens"": [50365, 286, 536, 7446, 293, 6419, 5811, 13, 50567], ""temperature"": 0, ""avg_logprob"": -0.3917785, ""compression_ratio"": 0.81395346, ""no_speech_prob"": 8.2094616e-11}]",English,Yes,Yes
ca,1,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1737750320966_15186858_6.mp3,125150862,0,https://drive.google.com/file/d/1q0UBNrL88g6Fz_WKtAtOE1m5dUNHHMN7/view?usp=sharing," Júl, liggið sem tíu.","[{""word"": ""J\u00fal,"", ""start"": 0.18, ""end"": 0.76}, {""word"": ""liggi\u00f0"", ""start"": 0.76, ""end"": 1.36}, {""word"": ""sem"", ""start"": 1.36, ""end"": 1.6}, {""word"": ""t\u00edu."", ""start"": 1.6, ""end"": 2.74}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 2.78, ""text"": "" J\u00fal, liggi\u00f0 sem t\u00edu."", ""tokens"": [50365, 508, 2481, 75, 11, 287, 6249, 72, 23436, 4361, 256, 870, 84, 13, 50504], ""temperature"": 0, ""avg_logprob"": -0.64516664, ""compression_ratio"": 0.7419355, ""no_speech_prob"": 3.1566585e-10}]",Icelandic,No,No
ca,10,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1740441550994_19719434_2.mp3,157022284,0,https://drive.google.com/file/d/1bt4IyEMjo6tIpRgmXLRkEsVM5tdG1ejD/view?usp=sharing, The girl is looking at the pink sweater her friend is showing her.,"[{""word"": ""The"", ""start"": 1.8, ""end"": 1.88}, {""word"": ""girl"", ""start"": 1.88, ""end"": 2.32}, {""word"": ""is"", ""start"": 2.32, ""end"": 2.74}, {""word"": ""looking"", ""start"": 2.74, ""end"": 3.2}, {""word"": ""at"", ""start"": 3.2, ""end"": 3.84}, {""word"": ""the"", ""start"": 3.84, ""end"": 4.08}, {""word"": ""pink"", ""start"": 4.08, ""end"": 4.48}, {""word"": ""sweater"", ""start"": 4.48, ""end"": 4.94}, {""word"": ""her"", ""start"": 4.94, ""end"": 5.38}, {""word"": ""friend"", ""start"": 5.38, ""end"": 5.8}, {""word"": ""is"", ""start"": 5.8, ""end"": 6.44}, {""word"": ""showing"", ""start"": 6.44, ""end"": 7.32}, {""word"": ""her."", ""start"": 7.32, ""end"": 7.86}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 8.24, ""text"": "" The girl is looking at the pink sweater her friend is showing her."", ""tokens"": [50365, 440, 2013, 307, 1237, 412, 264, 7022, 26550, 720, 1277, 307, 4099, 720, 13, 50777], ""temperature"": 0, ""avg_logprob"": -0.10712611, ""compression_ratio"": 1, ""no_speech_prob"": 3.6856095e-11}]",English,Yes,Yes
ca,11,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1734022767502_11699708_1.mp3,92508629,0,https://drive.google.com/file/d/12f7DTe5ceqC1Y4u2n34T8dcU4wG1KL1x/view?usp=sharing, Thank you.,"[{""word"": ""Thank"", ""start"": 0.02, ""end"": 0.7}, {""word"": ""you."", ""start"": 0.7, ""end"": 0.72}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 0.74, ""text"": "" Thank you."", ""tokens"": [50365, 1044, 291, 13, 50402], ""temperature"": 0, ""avg_logprob"": -0.44485798, ""compression_ratio"": 0.5555556, ""no_speech_prob"": 1.9140069e-10}]",English,No,No
ca,12,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1740550573879_19861569_2.mp3,157924006,0,https://drive.google.com/file/d/1zOs4tzNYchV0zHedpv0OVTPcs3mSJlDl/view?usp=sharing, They are raising the gratitude.,"[{""word"": ""They"", ""start"": 2.02, ""end"": 2.26}, {""word"": ""are"", ""start"": 2.26, ""end"": 2.78}, {""word"": ""raising"", ""start"": 2.78, ""end"": 3.52}, {""word"": ""the"", ""start"": 3.52, ""end"": 3.78}, {""word"": ""gratitude."", ""start"": 3.78, ""end"": 4.78}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 5.24, ""text"": "" They are raising the gratitude."", ""tokens"": [50365, 814, 366, 11225, 264, 16935, 13, 50627], ""temperature"": 0, ""avg_logprob"": -0.2629401, ""compression_ratio"": 0.7948718, ""no_speech_prob"": 7.059312e-10}]",Icelandic,Yes,Yes
ca,2,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1738797062902_17208595_2.mp3,140719507,0,https://drive.google.com/file/d/1q9avVsn762LaUROhV7L09QFByxbG49_n/view?usp=sharing, The girl and the boy are in the backyard.,"[{""word"": ""The"", ""start"": 0.54, ""end"": 0.7}, {""word"": ""girl"", ""start"": 0.7, ""end"": 1.06}, {""word"": ""and"", ""start"": 1.06, ""end"": 1.36}, {""word"": ""the"", ""start"": 1.36, ""end"": 1.5}, {""word"": ""boy"", ""start"": 1.5, ""end"": 1.82}, {""word"": ""are"", ""start"": 1.82, ""end"": 2.08}, {""word"": ""in"", ""start"": 2.08, ""end"": 2.26}, {""word"": ""the"", ""start"": 2.26, ""end"": 2.38}, {""word"": ""backyard."", ""start"": 2.38, ""end"": 3.4}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 3.38, ""text"": "" The girl and the boy are in the backyard."", ""tokens"": [50365, 440, 2013, 293, 264, 3237, 366, 294, 264, 20036, 13, 50534], ""temperature"": 0, ""avg_logprob"": -0.14459532, ""compression_ratio"": 0.95348835, ""no_speech_prob"": 6.186845e-10}]",English,Yes,Yes
ca,3,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1739301040415_18045963_3.mp3,146462030,0,https://drive.google.com/file/d/1gzOY9nvzcbtFgZd3r0dl_Y15Bx7btA_G/view?usp=sharing," Mami og dæti, þú dóttir og það er pækki.","[{""word"": ""Mami"", ""start"": 0.28, ""end"": 1.3}, {""word"": ""og"", ""start"": 1.3, ""end"": 1.58}, {""word"": ""d\u00e6ti,"", ""start"": 1.58, ""end"": 2.2}, {""word"": ""\u00fe\u00fa"", ""start"": 2.2, ""end"": 2.68}, {""word"": ""d\u00f3ttir"", ""start"": 2.68, ""end"": 3.3}, {""word"": ""og"", ""start"": 3.3, ""end"": 3.72}, {""word"": ""\u00fea\u00f0"", ""start"": 3.72, ""end"": 3.88}, {""word"": ""er"", ""start"": 3.88, ""end"": 4.08}, {""word"": ""p\u00e6kki."", ""start"": 4.08, ""end"": 5.02}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 6.02, ""text"": "" Mami og d\u00e6ti, \u00fe\u00fa d\u00f3ttir og \u00fea\u00f0 er p\u00e6kki."", ""tokens"": [50365, 376, 4526, 5360, 274, 7303, 7317, 11, 43219, 2481, 274, 812, 6319, 347, 5360, 43219, 64, 23436, 1189, 280, 7303, 74, 2984, 13, 50666], ""temperature"": 0, ""avg_logprob"": -0.9065374, ""compression_ratio"": 0.8867925, ""no_speech_prob"": 4.713488e-10}]",Icelandic,No,No
ca,4,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1739993987329_19104091_1.mp3,153126418,0,https://drive.google.com/file/d/1qdG7A1E5ePqC12FTWxf7CGh6UckcvMHc/view?usp=sharing, Is a girl with a plant?,"[{""word"": ""Is"", ""start"": 0.42, ""end"": 0.6}, {""word"": ""a"", ""start"": 0.6, ""end"": 0.78}, {""word"": ""girl"", ""start"": 0.78, ""end"": 1.08}, {""word"": ""with"", ""start"": 1.08, ""end"": 1.42}, {""word"": ""a"", ""start"": 1.42, ""end"": 1.56}, {""word"": ""plant?"", ""start"": 1.56, ""end"": 2.24}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 2.26, ""text"": "" Is a girl with a plant?"", ""tokens"": [50365, 1119, 257, 2013, 365, 257, 3709, 30, 50478], ""temperature"": 0, ""avg_logprob"": -0.34695598, ""compression_ratio"": 0.79310346, ""no_speech_prob"": 2.3648303e-10}]",Icelandic,Yes,Yes
ca,5,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1736287864533_12795488_6.mp3,100965864,0,https://drive.google.com/file/d/1c4hOCdkL1wP8hXHnK4Z-XpXu53zMZkXa/view?usp=sharing, He is preparing a salad.,"[{""word"": ""He"", ""start"": 0.44, ""end"": 0.62}, {""word"": ""is"", ""start"": 0.62, ""end"": 0.76}, {""word"": ""preparing"", ""start"": 0.76, ""end"": 1.36}, {""word"": ""a"", ""start"": 1.36, ""end"": 2.14}, {""word"": ""salad."", ""start"": 2.14, ""end"": 3.4}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 3.46, ""text"": "" He is preparing a salad."", ""tokens"": [50365, 634, 307, 10075, 257, 12604, 13, 50538], ""temperature"": 0, ""avg_logprob"": -0.18069474, ""compression_ratio"": 0.75, ""no_speech_prob"": 1.03774114e-10}]",English,Yes,No
ca,6,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1738083907755_15604216_1.mp3,128646379,0,https://drive.google.com/file/d/1Bc7WKCcy8XkRc_ZHvsHOpJt4o_KQCi68/view?usp=sharing, The keys are in the museum.,"[{""word"": ""The"", ""start"": 1.3, ""end"": 1.54}, {""word"": ""keys"", ""start"": 1.54, ""end"": 2.42}, {""word"": ""are"", ""start"": 2.42, ""end"": 2.7}, {""word"": ""in"", ""start"": 2.7, ""end"": 2.92}, {""word"": ""the"", ""start"": 2.92, ""end"": 3.22}, {""word"": ""museum."", ""start"": 3.22, ""end"": 3.74}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 4.76, ""text"": "" The keys are in the museum."", ""tokens"": [50365, 440, 9317, 366, 294, 264, 8441, 13, 50603], ""temperature"": 0, ""avg_logprob"": -0.14858177, ""compression_ratio"": 0.8181818, ""no_speech_prob"": 1.6342977e-10}]",English,Yes,Yes
ca,7,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1737669304297_14988609_3.mp3,123348578,0,https://drive.google.com/file/d/1Gkmrusnu1d0uGqEIkmIinsun7pVkoyQH/view?usp=sharing, What I think the boy is doing is he is drawing or writing on a piece of paper.,"[{""word"": ""What"", ""start"": 1.18, ""end"": 1.32}, {""word"": ""I"", ""start"": 1.32, ""end"": 1.6}, {""word"": ""think"", ""start"": 1.6, ""end"": 1.94}, {""word"": ""the"", ""start"": 1.94, ""end"": 2.22}, {""word"": ""boy"", ""start"": 2.22, ""end"": 2.46}, {""word"": ""is"", ""start"": 2.46, ""end"": 2.66}, {""word"": ""doing"", ""start"": 2.66, ""end"": 3.1}, {""word"": ""is"", ""start"": 3.1, ""end"": 3.66}, {""word"": ""he"", ""start"": 3.66, ""end"": 3.8}, {""word"": ""is"", ""start"": 3.8, ""end"": 4.26}, {""word"": ""drawing"", ""start"": 4.26, ""end"": 4.86}, {""word"": ""or"", ""start"": 4.86, ""end"": 5.2}, {""word"": ""writing"", ""start"": 5.2, ""end"": 5.68}, {""word"": ""on"", ""start"": 5.68, ""end"": 6.08}, {""word"": ""a"", ""start"": 6.08, ""end"": 6.26}, {""word"": ""piece"", ""start"": 6.26, ""end"": 6.6}, {""word"": ""of"", ""start"": 6.6, ""end"": 6.72}, {""word"": ""paper."", ""start"": 6.72, ""end"": 7.4}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 7.64, ""text"": "" What I think the boy is doing is he is drawing or writing on a piece of paper."", ""tokens"": [50365, 708, 286, 519, 264, 3237, 307, 884, 307, 415, 307, 6316, 420, 3579, 322, 257, 2522, 295, 3035, 13, 50747], ""temperature"": 0, ""avg_logprob"": -0.19270068, ""compression_ratio"": 1.0833334, ""no_speech_prob"": 1.35717895e-11}]",English,Yes,Yes
ca,k,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1740092567936_19376433_3.mp3,154835003,0,https://drive.google.com/file/d/1K68sMSlbqFuC14vGKeSSYIkmHzt-hMa9/view?usp=sharing, Driving the bar.,"[{""word"": ""Driving"", ""start"": 1.36, ""end"": 3}, {""word"": ""the"", ""start"": 3, ""end"": 3.46}, {""word"": ""bar."", ""start"": 3.46, ""end"": 4.06}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 5.42, ""text"": "" Driving the bar."", ""tokens"": [50365, 44028, 264, 2159, 13, 50636], ""temperature"": 0, ""avg_logprob"": -0.6745834, ""compression_ratio"": 0.6666667, ""no_speech_prob"": 1.6704806e-11}]",English,Yes,Yes
tx,1,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/auto_audios/1738954772669_17615397_1.mp3,143535356,0,https://drive.google.com/file/d/1pOC0txyy4IsLGB1wSwjDTjyymerAt13c/view?usp=sharing," Just a bench, park, sea sauce, and a bike.","[{""word"": ""Just"", ""start"": 0.46, ""end"": 0.64}, {""word"": ""a"", ""start"": 0.64, ""end"": 0.82}, {""word"": ""bench,"", ""start"": 0.82, ""end"": 1.88}, {""word"": ""park,"", ""start"": 1.88, ""end"": 3.76}, {""word"": ""sea"", ""start"": 3.76, ""end"": 4.98}, {""word"": ""sauce,"", ""start"": 4.98, ""end"": 5.76}, {""word"": ""and"", ""start"": 5.76, ""end"": 6.66}, {""word"": ""a"", ""start"": 6.66, ""end"": 6.82}, {""word"": ""bike."", ""start"": 6.82, ""end"": 7.26}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 7.16, ""text"": "" Just a bench, park, sea sauce, and a bike."", ""tokens"": [50365, 1449, 257, 10638, 11, 3884, 11, 4158, 4880, 11, 293, 257, 5656, 13, 50723], ""temperature"": 0, ""avg_logprob"": -0.15740652, ""compression_ratio"": 0.875, ""no_speech_prob"": 6.1558584e-12}]",English,Yes,Yes
